"","x_bar","y_bar","gamma","true_n","true_K","KLD","BC","Fc","derrorAB_dn","derrorBC_dn","derrorAB_dK","derrorBC_dK","emp_x_bar"
"1",10,10,0.1,3,10,0.406200092660564,0.931948321849256,0.628157804615259,0.0318878050798823,0.00180523758534435,0.0139722848169731,0.00159268594436543,9.98630639730274
"2",100,10,0.1,3,10,NA,0.631731023761043,0.944642548193944,0.0343897436220508,0.000168960524536634,0.0150494754480085,0.000986923951781976,100.05188813004
"3",50,10,0.1,3,10,3.62156324312978,0.735030731345502,0.894991524779184,0.0341194550891576,0.000369916830848776,0.0149280126533782,0.00106205980699408,49.999411644098
"4",10,10,1,3,10,0.147366000466286,0.970929347552818,0.481011497096339,0.0183898079315254,0.00109950370955345,0.00827936500143631,0.000771343228543509,10.0170130045289
"5",100,10,1,3,10,3.73944847050604,0.733790444899121,0.902635083818286,0.0199606358749878,0.00014268834746753,0.00894845954605639,0.000377366762690638,99.8284531317598
"6",50,10,1,3,10,1.58220447893106,0.830709391030341,0.822727782443444,0.0197385389063344,0.000254464733351648,0.00886170104909736,0.000422403962274311,50.063831798383
"7",10,10,10,3,10,0.00633701263252859,0.998495852654697,0.143126255443981,0.00353727295250659,0.00022064096951819,0.00161044405405312,0.000110704425046004,9.99272344008908
"8",100,10,10,3,10,0.353536721999082,0.941757741254656,0.626378885716847,0.00385762197401991,2.62434650456994e-05,0.00175909011192031,2.37402211456352e-05,100.094802225472
"9",50,10,10,3,10,0.117024263605624,0.976847296219228,0.455423400175301,0.00381308328100596,5.21872238591824e-05,0.00173889647427881,3.5261754143724e-05,50.0238560404095
"10",10,100,0.1,3,10,4.39754604186527e-07,0.99999988856935,8.29101183157891e-07,-1.40824972702111e-07,-1.38807578370976e-08,2.26333479172591e-08,2.17629605649725e-09,10.0067671622959
"11",100,100,0.1,3,10,8.37335402562743e-07,0.999999791641774,1.30203364698171e-05,-2.48433319350133e-07,-1.90861565222442e-09,3.87389285936794e-08,3.05149295426894e-10,100.019840938152
"12",50,100,0.1,3,10,6.92401798748657e-07,0.999999819082931,6.28436762681872e-06,-2.33701322571191e-07,-4.98025759293036e-09,3.70157498761976e-08,7.86362526533551e-10,50.0161117571306
"13",10,100,1,3,10,4.97897102266703e-07,0.999999876950571,2.8814626036209e-07,-4.7505304194332e-08,1.70390266983057e-09,7.86750562033954e-09,-2.2275778395089e-10,9.9995759861
"14",100,100,1,3,10,4.93072475801394e-06,0.999998705446443,6.73646341091246e-06,-1.28326640048347e-07,4.48696491281348e-09,2.00338522993404e-08,-6.86418015117068e-10,100.06808865362
"15",50,100,1,3,10,2.82969964649595e-06,0.999999290242654,-1.10547568301253e-07,3.45590628668082e-09,5.29888660336307e-09,-6.51704668844303e-10,-8.51789676147507e-10,50.0309348024319
"16",10,100,10,3,10,6.33213220701418e-07,0.999999834252623,-6.45160173291388e-08,9.68681838803037e-09,-3.93948603571637e-10,-1.75861325245249e-09,4.31023090707504e-11,10.0027629112028
"17",100,100,10,3,10,4.7975987262929e-06,0.999998780879309,-1.553102707423e-06,2.87334494427263e-08,-2.98212924819834e-09,-4.61654364649187e-09,4.53896338709255e-10,100.066624794047
"18",50,100,10,3,10,2.55947529547653e-06,0.999999361133699,-3.07527447791663e-07,1.29424715207744e-08,7.73125796006127e-10,-1.81448635111883e-09,-1.09550631083169e-10,50.0272402615529
"19",10,50,0.1,3,10,6.07315127727374e-07,0.999999851543071,0.000164086478109234,-1.66936495078677e-05,-1.01106346757529e-06,4.40521005718355e-06,2.66631832669016e-07,10.0023422858002
"20",100,50,0.1,3,10,NA,0.999999783726022,0.00170406972275888,-1.88862474482259e-05,-8.82784424182913e-08,4.98862742791712e-06,2.14637241821828e-08,100.030580568034
"21",50,50,0.1,3,10,3.40293922988168e-07,0.999999914583377,0.000870173818354574,-1.9152394707693e-05,-2.1026326200434e-07,5.04355176021849e-06,5.38561806575723e-08,50.0082865012768
"22",10,50,1,3,10,2.48172425514732e-07,0.999999938402746,8.80941922751383e-05,-9.12574861058172e-06,-5.03697561942255e-07,2.36892224691851e-06,1.29352006421116e-07,10.005076827899
"23",100,50,1,3,10,2.38968477027739e-06,0.99999940304374,0.000871698891169196,-9.79879300005172e-06,-4.35148379260533e-08,2.55410760980646e-06,1.06034126530723e-08,99.9925070438865
"24",50,50,1,3,10,3.84214682237204e-06,0.99999903246498,0.000428828646273866,-9.5964360039483e-06,-7.78367391636865e-08,2.48648843602076e-06,2.05437485135359e-08,50.0539870918622
"25",10,50,10,3,10,1.08381784537126e-06,0.999999760404457,1.61367340718824e-05,-1.65891490601849e-06,-5.4094387108594e-08,4.33454882647006e-07,1.47195255075015e-08,10.0025024705942
"26",100,50,10,3,10,4.23355423909302e-06,0.999998897084629,0.000161582769708956,-1.84547110993243e-06,-1.10866550460139e-08,4.73839817618644e-07,2.80449756281875e-09,100.0003555503
"27",50,50,10,3,10,1.67683114388852e-06,0.999999563883757,6.97986561754679e-05,-1.56698595127266e-06,-3.88757835387651e-08,4.04910620646274e-07,9.29729850972664e-09,50.0122351977706
"28",10,10,0.1,3,110,NA,0.792416691177802,0.887262365846303,0.154216264834739,0.0979417158740385,2.50901356668939e-05,2.13933319481286e-05,9.97096601727968
"29",100,10,0.1,3,110,NA,0.468715800733724,0.9876001050848,0.161699875679297,0.0992420758564501,2.62581030676326e-05,2.19831374213284e-05,100.376224757154
"30",50,10,0.1,3,110,NA,0.553950132882843,0.975543411786735,0.161169645053002,0.09951317339597,2.62006982729637e-05,2.21105397290765e-05,50.1442749012477
"31",10,10,1,3,110,1.10267396472544,0.871724671253211,0.807341452080333,0.0966153890182254,0.043234313005545,1.52222078129928e-05,8.72655472249301e-06,10.0147262604103
"32",100,10,1,3,110,NA,0.550640674420727,0.976688451884124,0.103221152349268,0.0433215756726039,1.62285511285416e-05,8.91333965668013e-06,99.6859670041869
"33",50,10,1,3,110,NA,0.645851499083177,0.954461386355362,0.102381316655769,0.0433383496743368,1.61162136340136e-05,8.92431369203144e-06,49.9298021769877
"34",10,10,10,3,110,0.091840838051278,0.982088453155815,0.427119619800645,0.021652239917379,0.00341922325547449,3.34738569967029e-06,6.13545735541714e-07,9.99865426310296
"35",100,10,10,3,110,2.55682071139881,0.790055566436719,0.881438242447474,0.0233351708301147,0.00251790970169664,3.59846991141951e-06,4.81360313126104e-07,100.040152498096
"36",50,10,10,3,110,1.05453608614213,0.876475667160278,0.788901874201916,0.0232893724351579,0.00271109268573754,3.61354405923117e-06,5.20415428537706e-07,50.0678288328661
"37",10,100,0.1,3,110,0.0145057725129425,0.996644566287768,0.206219258616831,0.00823995622889137,0.000516999700107697,0.000258199875666127,1.91711680098672e-05,10.0190035041038
"38",100,100,0.1,3,110,0.66934472786062,0.906860348305194,0.721348123730863,0.00895301694149059,7.08826679342857e-05,0.000280455302292744,5.66212116458993e-06,99.8617248638351
"39",50,100,0.1,3,110,0.236789432729211,0.957961984659469,0.564014262227405,0.00884535103190341,0.000123466385788991,0.000277004715477032,7.21649420700876e-06,50.0155718316517
"40",10,100,1,3,110,0.004605087181971,0.998898886617259,0.124781780738136,0.00457852676763207,0.00028880726859727,0.000143705600689057,9.99060488216253e-06,10.0023250312991
"41",100,100,1,3,110,0.272644657007701,0.952891120225304,0.588448113763542,0.00498563357327217,3.88207917144523e-05,0.000156646091910931,2.28945930120762e-06,100.217238725252
"42",50,100,1,3,110,0.0890394878436099,0.98191933546876,0.416884125576701,0.00494112310129113,7.06961118027861e-05,0.00015513075049355,3.28436369616407e-06,50.060037384154
"43",10,100,10,3,110,0.000155416787158121,0.999961517844328,0.025206595981381,0.000839380007357752,5.26136065508543e-05,2.6398591088863e-05,1.68377240079424e-06,10.0053320321091
"44",100,100,10,3,110,0.0142988008427217,0.996704347345002,0.205889108315472,0.000916211487048509,6.545557230574e-06,2.87806994607346e-05,2.43558968662898e-07,100.035362905252
"45",50,100,10,3,110,0.00384615131746968,0.999079277380673,0.114654387021028,0.000905539596771375,1.19192105734263e-05,2.84265680691841e-05,4.10563517633169e-07,50.0409963349656
"46",10,50,0.1,3,110,0.22608536613406,0.959482980171066,0.565673872747492,0.0424918749648731,0.00728375244177133,0.000290347209976245,5.93901315552954e-05,10.0054096368973
"47",100,50,0.1,3,110,5.09276774498665,0.702372178774879,0.928957782364373,0.0460637776918145,0.00579907502110948,0.000314511071533445,5.06128914408907e-05,99.9205952723062
"48",50,50,0.1,3,110,2.18935058798408,0.801229485696743,0.866829631913319,0.0455436752066108,0.00597125917424566,0.000311118113093944,5.16202251471515e-05,49.8923755774646
"49",10,50,1,3,110,0.0859525806737876,0.982591754262531,0.417128048455807,0.0242648677778854,0.00314003808967488,0.000164762133886775,2.44069785448858e-05,10.0210064315853
"50",100,50,1,3,110,2.46368209841836,0.7896052699762,0.876739523688417,0.0261681167491103,0.00205177747986078,0.000177358121841016,1.73290612373672e-05,99.9394941337729
"51",50,50,1,3,110,1.01495622776472,0.875643899117229,0.782285387027019,0.0261662069962218,0.00223976439205948,0.000177689699257885,1.87140092784639e-05,50.0302360189823
"52",10,50,10,3,110,0.00385840151475179,0.99907799234851,0.114763049614231,0.00460552657155443,0.000355801541539224,3.11415586173037e-05,2.51726753821697e-06,10.007024502807
"53",100,50,10,3,110,0.231075309634361,0.959246988208122,0.564681222290951,0.00501332173655286,0.000112407099871712,3.38870448557242e-05,8.86155465025982e-07,100.059260585799
"54",50,50,10,3,110,0.0738629459101161,0.98481659954214,0.393568133877516,0.00496949893785098,0.000144464897914499,3.35880010229051e-05,1.10110205718897e-06,50.0032327115884
"55",10,10,0.1,3,30,NA,0.804361880251162,0.868261113050848,0.148684994653442,0.0756666457104545,0.00295203671462427,0.00188913996175181,9.97486356259246
"56",100,10,0.1,3,30,NA,0.480322884297745,0.985203550623862,0.156508340116134,0.0757118646088158,0.00310269290221046,0.00192189416388424,100.19162668424
"57",50,10,0.1,3,30,NA,0.567305198850457,0.970844820042997,0.156056713078444,0.0760317779839253,0.00309461381393151,0.0019249025765626,49.9683949874095
"58",10,10,1,3,30,0.921279554027687,0.882998998968825,0.78027124970139,0.0927048571340089,0.0336058728000051,0.00180658790903178,0.00079464259275267,9.9940428090857
"59",100,10,1,3,30,NA,0.564830890616568,0.972610789927513,0.0992469923807005,0.0329718305631984,0.00193357208142805,0.000800329114324922,99.6799225969515
"60",50,10,1,3,30,6.7250241851234,0.660841712309476,0.946684830072315,0.0982477049274076,0.0328517090672516,0.00191285489167792,0.000794593834385179,49.9336094054606
"61",10,10,10,3,30,0.0708617305746245,0.9855866971265,0.388719269824313,0.0202635647603655,0.00275317878075604,0.000390101726818623,5.91629397762099e-05,10.006503059
"62",100,10,10,3,30,2.13159350928135,0.807893798101348,0.864164438214391,0.021959579544659,0.00188371968699322,0.000423485331177422,4.34065235510574e-05,100.188153180563
"63",50,10,10,3,30,0.856869155965231,0.89078630392949,0.76086864025328,0.0217873618632685,0.00200269545135483,0.000419797511638507,4.54661580111018e-05,50.0542807208837
"64",10,100,0.1,3,30,7.11220357757161e-07,0.999999821560383,0.000698528578170096,-4.88224536508186e-05,-2.99857431136871e-06,6.10963333416515e-06,3.71386760508297e-07,10.0071716661143
"65",100,100,0.1,3,30,1.01697562196489e-05,0.999997463828958,0.00711324061755057,-5.46820112573497e-05,-2.24838382514047e-07,6.82515289205398e-06,2.50367986012835e-08,100.012257333848
"66",50,100,0.1,3,30,3.29571670511321e-06,0.999999174002524,0.00353561384538093,-5.35499813611439e-05,-5.74489012237778e-07,6.69154821344876e-06,6.87253260922162e-08,50.0182429848945
"67",10,100,1,3,30,4.4479073984321e-07,0.999999889744109,0.00037229840737325,-2.62719481077804e-05,-1.5954699771153e-06,3.26183632396526e-06,1.97125565247626e-07,9.9985985610993
"68",100,100,1,3,30,6.47789018031015e-06,0.999998340183596,0.00379570333891848,-2.9355285322666e-05,-1.07004287752609e-07,3.63300418023448e-06,1.27701000886216e-08,100.07269640598
