"","x_bar","y_bar","gamma","true_n","n","error_AB","error_BC"
"1",10,10,0.1,1,0,-0.619931085654518,0.0649365148609743
"2",100,10,0.1,1,0,-1.63935965203296,0.0504227605613411
"3",50,10,0.1,1,0,-1.38935574441759,0.0534009693747374
"4",10,10,1,1,0,-0.401142430024565,0.0412868524681389
"5",100,10,1,1,0,-1.42853515389962,0.0351658680766927
"6",50,10,1,1,0,-1.11044288227491,0.0365456776867577
"7",10,10,10,1,0,-0.085803809105314,0.00843410103985835
"8",100,10,10,1,0,-0.628951382605169,0.00859810120911703
"9",50,10,10,1,0,-0.370824976567925,0.00892363018687129
"10",10,100,0.1,1,0,-0.0869609961955815,0.00833861083288366
"11",100,100,0.1,1,0,-0.625598386473307,0.00697727880163457
"12",50,100,0.1,1,0,-0.370083337828752,0.00745579335756271
"13",10,100,1,1,0,-0.0483350669730972,0.00487703147253841
"14",100,100,1,1,0,-0.399699136422218,0.0043512350380821
"15",50,100,1,1,0,-0.223715494245775,0.00471916387588489
"16",10,100,10,1,0,-0.00864801663355795,0.000943263865243185
"17",100,100,10,1,0,-0.0854554822167805,0.000857812685989937
"18",50,100,10,1,0,-0.0451868864397667,0.000777869374265001
"19",10,50,0.1,1,0,-0.16470222777109,0.0158521051693637
"20",100,50,0.1,1,0,-0.954490425936465,0.0123428572352277
"21",50,50,0.1,1,0,-0.625487299401104,0.0138994860330485
"22",10,50,1,1,0,-0.0955165895666133,0.00943030761892466
"23",100,50,1,1,0,-0.666561234702308,0.00822816238685668
"24",50,50,1,1,0,-0.400877167462542,0.00867954939846946
"25",10,50,10,1,0,-0.0179718122045528,0.00189280077591318
"26",100,50,10,1,0,-0.165442084455409,0.00197430636970621
"27",50,50,10,1,0,-0.0862124587611203,0.00173405054045122
"28",10,10,0.1,2,0,-1.26278579841098,0.288315287040636
"29",100,10,0.1,2,0,-1.8903886104655,0.298277095503608
"30",50,10,0.1,2,0,-1.7926900721306,0.298815395837344
"31",10,10,1,2,0,-0.971463602105693,0.18021563849781
"32",100,10,1,2,0,-1.80739112869784,0.194143911090599
"33",50,10,1,2,0,-1.64966424541978,0.192561315931679
"34",10,10,10,2,0,-0.29045845414244,0.0351951929297618
"35",100,10,10,2,0,-1.25997930273699,0.0439385017331211
"36",50,10,10,2,0,-0.920032108753344,0.0420505569620805
"37",10,100,0.1,2,0,-0.306948410631653,0.033971774473255
"38",100,100,0.1,2,0,-1.28727413052877,0.0358322401048971
"39",50,100,0.1,2,0,-0.947805508249,0.034886147668685
"40",10,100,1,2,0,-0.180268351342375,0.0190709788593107
"41",100,100,1,2,0,-0.998718526512765,0.0212170491833947
"42",50,100,1,2,0,-0.666552230706389,0.0211825529103361
"43",10,100,10,2,0,-0.0345663042621908,0.00355713914681896
"44",100,100,10,2,0,-0.305056126765242,0.00379672377481086
"45",50,100,10,2,0,-0.16543266550231,0.00374114994028932
"46",10,50,0.1,2,0,-0.527201412124876,0.066223692757093
"47",100,50,0.1,2,0,-1.56524750159701,0.0701345628047554
"48",50,50,0.1,2,0,-1.28394604073106,0.0692590255938156
"49",10,50,1,2,0,-0.329613870611254,0.0382155442316486
"50",100,50,1,2,0,-1.32708701437823,0.042459010982369
"51",50,50,1,2,0,-0.996213983181857,0.0418950632189747
"52",10,50,10,2,0,-0.0686876452210696,0.00711096237071969
"53",100,50,10,2,0,-0.525893186141742,0.00851223350923784
"54",50,50,10,2,0,-0.303680916755428,0.00761897638595626
"55",10,10,0.1,3,0,-1.5969832662569,0.634543423538274
"56",100,10,0.1,3,0,-1.95127190212229,0.659951584930549
"57",50,10,0.1,3,0,-1.9049578491683,0.657924859145996
"58",10,10,1,3,0,-1.35968997162073,0.413388761451266
"59",100,10,1,3,0,-1.90967831270092,0.444543096997707
"60",50,10,1,3,0,-1.82758682078373,0.441385886069601
"61",10,10,10,3,0,-0.546670929384201,0.0870880832291024
"62",100,10,10,3,0,-1.57950309774014,0.109322461268138
"63",50,10,10,3,0,-1.30761358373298,0.106909860155442
"64",10,100,0.1,3,0,-0.579316317683369,0.0803777710600945
"65",100,100,0.1,3,0,-1.60582398553202,0.0902371178570254
"66",50,100,0.1,3,0,-1.34134931106857,0.0884700466140198
"67",10,100,1,3,0,-0.366199982005222,0.0455855254775979
"68",100,100,1,3,0,-1.38464992488815,0.0549539691471794
"69",50,100,1,3,0,-1.05854827945403,0.052733071187715
"70",10,100,10,3,0,-0.0772628421817562,0.00811897697652151
"71",100,100,10,3,0,-0.576664722224959,0.0100446169026601
"72",50,100,10,3,0,-0.336617912679748,0.00916336844614613
"73",10,50,0.1,3,0,-0.896003239955705,0.158400905506837
"74",100,50,0.1,3,0,-1.78205892879698,0.174467233929406
"75",50,50,0.1,3,0,-1.60455951686163,0.172918412119361
"76",10,50,1,3,0,-0.615995674221332,0.0924570658249497
"77",100,50,1,3,0,-1.63125712917403,0.105350297584448
"78",50,50,1,3,0,-1.3796579465223,0.104428773392207
"79",10,50,10,3,0,-0.148412430658451,0.0163637700040482
"80",100,50,10,3,0,-0.890772404224346,0.0217956561072513
"81",50,50,10,3,0,-0.573383076578077,0.0198189888636165
"82",10,10,0.1,4,0,-1.77055874412189,1.02318300025713
"83",100,10,0.1,4,0,-1.97193452253216,1.05435872131007
"84",50,10,0.1,4,0,-1.94978643278222,1.0553303641958
"85",10,10,1,4,0,-1.59696135495029,0.716449730374317
"86",100,10,1,4,0,-1.9508756220866,0.751463469675904
"87",50,10,1,4,0,-1.90408464149107,0.750755782774153
"88",10,10,10,4,0,-0.81626578516556,0.174474103418652
"89",100,10,10,4,0,-1.74674748967223,0.211896178765375
"90",50,10,10,4,0,-1.54980257256018,0.206615225630279
"91",10,100,0.1,4,0,-0.848083659924236,0.150848796433956
"92",100,100,0.1,4,0,-1.75972349120979,0.169198519091267
"93",50,100,0.1,4,0,-1.57181778695651,0.166971051959943
"94",10,100,1,4,0,-0.572201347653223,0.0861105773015904
"95",100,100,1,4,0,-1.60153120889619,0.102722734577868
"96",50,100,1,4,0,-1.33574386893049,0.0994749148281968
"97",10,100,10,4,0,-0.134992214616215,0.0151088590699087
"98",100,100,10,4,0,-0.838340207909348,0.0199565442609161
"99",50,100,10,4,0,-0.531798294429046,0.0179453186806233
"100",10,50,0.1,4,0,-1.19357947289738,0.292966529976333
"101",100,50,0.1,4,0,-1.8737704591693,0.320285692267419
"102",50,50,0.1,4,0,-1.76109069081021,0.317241432536253
"103",10,50,1,4,0,-0.889359338074269,0.174321059016935
"104",100,50,1,4,0,-1.77672709067344,0.194479338717105
"105",50,50,1,4,0,-1.59941969767461,0.194033683903255
"106",10,50,10,4,0,-0.251054067355797,0.03108000643627
"107",100,50,10,4,0,-1.17988481914913,0.0425101775241306
"108",50,50,10,4,0,-0.837351189554626,0.039267067589485
"109",10,10,0.1,1,0.1,-0.5364508807086,0.057312222852934
"110",100,10,0.1,1,0.1,-1.34923744474637,0.0450187728047465
"111",50,10,0.1,1,0.1,-1.1576016952783,0.0474587812846819
"112",10,10,1,1,0.1,-0.351592749689244,0.0364709693537757
"113",100,10,1,1,0.1,-1.18803696362829,0.0308822277570935
"114",50,10,1,1,0.1,-0.938128773000977,0.0320776534462765
"115",10,10,10,1,0.1,-0.0763232689704188,0.00750981287988572
"116",100,10,10,1,0.1,-0.545106876643427,0.00752864038583659
"117",50,10,10,1,0.1,-0.325515293213113,0.00788273175707058
"118",10,100,0.1,1,0.1,-0.0778886050325632,0.00748104173682386
"119",100,100,0.1,1,0.1,-0.545522004421977,0.00617688359305374
"120",50,100,0.1,1,0.1,-0.326826080832124,0.00662422797901542
"121",10,100,1,1,0.1,-0.043332625862633,0.00439556909132495
"122",100,100,1,1,0.1,-0.352282192810397,0.00386117379443429
"123",50,100,1,1,0.1,-0.199171650961118,0.00421167635522346
"124",10,100,10,1,0.1,-0.00773840382520788,0.000856704100445779
"125",100,100,10,1,0.1,-0.0763979003852161,0.000758535955631933
"126",50,100,10,1,0.1,-0.0406460496544192,0.000689379506855424
"127",10,50,0.1,1,0.1,-0.146690548009303,0.0141503744611882
"128",100,50,0.1,1,0.1,-0.818747567723402,0.0109236387948536
"129",50,50,0.1,1,0.1,-0.545177556990662,0.0123008197685424
"130",10,50,1,1,0.1,-0.08548820107073,0.00846459736897988
"131",100,50,1,1,0.1,-0.579941507204601,0.0072621742835575
"132",50,50,1,1,0.1,-0.353364654371935,0.00770273308451778
"133",10,50,10,1,0.1,-0.0161448024372705,0.00171962994632564
"134",100,50,10,1,0.1,-0.147302714334221,0.00177852256757173
"135",50,50,10,1,0.1,-0.0771114762050892,0.00154385824053571
"136",10,10,0.1,2,0.1,-1.16151952703499,0.269375060475814
"137",100,10,0.1,2,0.1,-1.71187080909077,0.277607963921559
"138",50,10,0.1,2,0.1,-1.62760572605029,0.278268526343745
"139",10,10,1,2,0.1,-0.898763196127074,0.168223476744212
"140",100,10,1,2,0.1,-1.63678084747783,0.179801402060323
"141",50,10,1,2,0.1,-1.50011836083012,0.178563722958641
"142",10,10,10,2,0.1,-0.273157358608041,0.0331277562572889
"143",100,10,10,2,0.1,-1.15566500941753,0.0406646858708562
"144",50,10,10,2,0.1,-0.851376036959519,0.039115882513906
"145",10,100,0.1,2,0.1,-0.289368249331338,0.0320642691421187
"146",100,100,0.1,2,0.1,-1.18470548069117,0.0334018404731934
