"n","lambda","adj_x_bar","KLD","BC","Fc","eta_x_R_plus","derrorAB_dn","derrorBC_dn","x_bar"
1,1,10,0.0471702030342223,0.989872919811447,0.327202047874736,0.0489176863180978,0.310574926398214,-0.0354722319628833,9.941809666941
1.5,1,10,0.156130786038997,0.97023589356405,0.508780927962329,0.103524980839135,0.321917197603916,-0.0487628256764287,10.004846825167
2,1,10,0.389410116620165,0.93941775447834,0.654571817871753,0.190158943460744,0.321795259322099,-0.0757948773367254,9.96512567859222
2.5,1,10,0.690756081469527,0.905482589954662,0.742812341552919,0.28802506578763,0.294635273083718,-0.0822331432029878,10.0276392557345
3,1,10,1.06467676817962,0.874285034524982,0.804774394788817,0.414037733658014,0.278975454063262,-0.108459938291472,9.95628797457945
3.5,1,10,1.56697667240486,0.84299819646767,0.853089182383365,0.575249789517185,0.265084313655262,-0.124666745005538,10.0944855505095
4,1,10,2.05375115499863,0.814017386797364,0.883512445628488,0.784869033264255,0.252825297203671,-0.151253826533916,9.66353334690743
4.5,1,10,2.90752172034225,0.774928156890438,0.915494356559282,1.06366235899272,0.244067866978266,-0.172406245794297,10.1851204168617
5,1,10,3.3005489796853,0.756588258644303,0.926622616266884,1.28354685347249,0.228782059815892,-0.177417825075155,9.83850128224547
5.5,1,10,4.25865968375699,0.724649010327549,0.945456014720413,1.73520531348481,0.229870466076293,-0.203694220907009,9.98949637170466
6,1,10,Inf,0.697726159529632,0.955122289939139,2.10325645951712,0.217162119007938,-0.203966707941545,10.118964228007
6.5,1,10,Inf,0.669920692453241,0.96689651597852,2.89111388162023,0.22075788170704,-0.235088372562094,10.1027845702059
7,1,10,Inf,0.658989397012251,0.971066777686457,3.44205885462611,0.217796754669629,-0.237551342347197,9.75065971207035
7.5,1,10,Inf,0.653570702855943,0.973560440035486,4.08054125265322,0.220302879504228,-0.275010256241004,9.02383036657529
8,1,10,Inf,0.612654007869592,0.981262195564023,5.17038761906573,0.211451905032712,-0.256945885982583,10.1284563893054
8.5,1,10,Inf,0.592827706470062,0.987101344249015,7.51517594374357,0.233612274519457,-0.292419463362079,10.183056151151
9,1,10,Inf,0.592243255118229,0.983412600775777,6.8283356074422,0.187605236152158,-0.246548116563336,8.68245644116428
9.5,1,10,Inf,0.565383182805466,0.990787921692002,11.1827614183677,0.227450177423971,-0.295068229178103,9.61776193962618
10,1,10,Inf,0.554409024450503,0.989933128355043,10.823425739093,0.18553097581301,-0.232823113906361,9.08545298250825
1,5,10,0.00154645940076028,0.99963272782947,0.088705189528565,0.00975889093627089,0.0879603628738293,-0.00950174741042376,9.9744662829632
1.5,5,10,0.0119282672719951,0.997205748998699,0.185155903030637,0.0228620252282662,0.122027584074231,-0.0115258259342606,9.93912927031279
2,5,10,0.0278809238254752,0.99375571747921,0.282142454784895,0.0397237752864476,0.139960639657285,-0.0159837127857289,9.89417652886152
2.5,5,10,0.0739964906845872,0.984693292103215,0.392062160998354,0.0640888214526915,0.156011869706999,-0.0212436379513695,10.0626755194205
